expression,Preorder,Inorder,Postorder,Calculate
(3.15+4.25),+ 3.15 4.25,((3.15)+(4.25)),3.15 4.25 +,7.40
(6.78+1.12),+ 6.78 1.12,((6.78)+(1.12)),6.78 1.12 +,7.90
(0.99+2.34),+ 0.99 2.34,((0.99)+(2.34)),0.99 2.34 +,3.33
(8.50+7.30),+ 8.50 7.30,((8.50)+(7.30)),8.50 7.30 +,15.80
(5.67+3.98),+ 5.67 3.98,((5.67)+(3.98)),5.67 3.98 +,9.65
(10.75-4.32),- 10.75 4.32,((10.75)-(4.32)),10.75 4.32 -,6.43
(6.89-2.56),- 6.89 2.56,((6.89)-(2.56)),6.89 2.56 -,4.33
(3.14-1.09),- 3.14 1.09,((3.14)-(1.09)),3.14 1.09 -,2.05
(9.99-8.88),- 9.99 8.88,((9.99)-(8.88)),9.99 8.88 -,1.11
(12.45-5.67),- 12.45 5.67,((12.45)-(5.67)),12.45 5.67 -,6.78
(1.23*4.56),* 1.23 4.56,((1.23)*(4.56)),1.23 4.56 *,5.61
(3.33*2.22),* 3.33 2.22,((3.33)*(2.22)),3.33 2.22 *,7.39
(7.89*1.11),* 7.89 1.11,((7.89)*(1.11)),7.89 1.11 *,8.76
(2.45*6.78),* 2.45 6.78,((2.45)*(6.78)),2.45 6.78 *,16.61
(5.55*3.44),* 5.55 3.44,((5.55)*(3.44)),5.55 3.44 *,19.09
(8.64/2.16),/ 8.64 2.16,((8.64)/(2.16)),8.64 2.16 /,4.00
(4.44/1.11),/ 4.44 1.11,((4.44)/(1.11)),4.44 1.11 /,4.00
(9.99/3.33),/ 9.99 3.33,((9.99)/(3.33)),9.99 3.33 /,3.00
(12.50/2.50),/ 12.50 2.50,((12.50)/(2.50)),12.50 2.50 /,5.00
(7.77/1.29),/ 7.77 1.29,((7.77)/(1.29)),7.77 1.29 /,6.02
((3.15+4.25)/2.50),/ + 3.15 4.25 2.50,(((3.15)+(4.25))/(2.50)),3.15 4.25 + 2.50 /,2.96
((6.78-1.12)*2.00),* - 6.78 1.12 2.00,(((6.78)-(1.12))*(2.00)),6.78 1.12 - 2.00 *,11.32
((4.44*1.11)/3.33),/ * 4.44 1.11 3.33,(((4.44)*(1.11))/(3.33)),4.44 1.11 * 3.33 /,1.48
((8.50/2.00)+1.50),+ / 8.50 2.00 1.50,(((8.50)/(2.00))+(1.50)),8.50 2.00 / 1.50 +,5.75
((5.67-3.98)*1.25),* - 5.67 3.98 1.25,(((5.67)-(3.98))*(1.25)),5.67 3.98 - 1.25 *,2.11
((10.75+4.32)/3.00),/ + 10.75 4.32 3.00,(((10.75)+(4.32))/(3.00)),10.75 4.32 + 3.00 /,5.02
((7.89-2.56)/1.10),/ - 7.89 2.56 1.10,(((7.89)-(2.56))/(1.10)),7.89 2.56 - 1.10 /,4.85
((3.33*2.22)/4.44),/ * 3.33 2.22 4.44,(((3.33)*(2.22))/(4.44)),3.33 2.22 * 4.44 /,1.66
((9.99/3.33)+2.22),+ / 9.99 3.33 2.22,(((9.99)/(3.33))+(2.22)),9.99 3.33 / 2.22 +,5.22
